,id,city,gender,pom,toss_decision,winner,team_type,won_by
993,993,Abu Dhabi,male,AM Rahane,field,Rajasthan Royals,club,{'wickets': 4}
994,994,,male,PA Patel,field,Royal Challengers Bangalore,club,{'wickets': 7}
995,995,,male,JP Duminy,bat,Kolkata Knight Riders,club,{'wickets': 4}
996,996,,male,GJ Maxwell,field,Kings XI Punjab,club,{'wickets': 7}
997,997,Abu Dhabi,male,SK Raina,bat,Chennai Super Kings,club,{'runs': 93}
998,998,,male,GJ Maxwell,field,Sunrisers Hyderabad,club,{'runs': 72}
999,999,,male,RA Jadeja,field,Rajasthan Royals,club,{'runs': 7}
1000,1000,,male,CA Lynn,field,Royal Challengers Bangalore,club,{'runs': 2}
1001,1001,,male,AJ Finch,bat,Sunrisers Hyderabad,club,{'runs': 4}
1002,1002,,male,MM Sharma,bat,Mumbai Indians,club,{'wickets': 7}
1003,1003,Abu Dhabi,male,PV Tambe,field,Rajasthan Royals,club,{'wickets': 6}
1004,1004,Abu Dhabi,male,Sandeep Sharma,field,Kolkata Knight Riders,club,{'runs': 23}
1005,1005,,male,M Vijay,bat,Mumbai Indians,club,{'wickets': 6}
1006,1006,,male,DR Smith,bat,Sunrisers Hyderabad,club,{'wickets': 5}
1007,1007,,male,Sandeep Sharma,field,Kings XI Punjab,club,{'wickets': 5}
1008,1008,Abu Dhabi,male,JP Faulkner,bat,Rajasthan Royals,club,
1009,1009,,male,B Kumar,field,Mumbai Indians,club,{'runs': 15}
1010,1010,Ranchi,male,RA Jadeja,bat,Chennai Super Kings,club,{'runs': 34}
1011,1011,Mumbai,male,CJ Anderson,bat,Kings XI Punjab,club,{'wickets': 5}
1012,1012,Delhi,male,KK Nair,field,Rajasthan Royals,club,{'wickets': 7}
1013,1013,Bangalore,male,AB de Villiers,field,Royal Challengers Bangalore,club,{'wickets': 4}
1014,1014,Ahmedabad,male,PV Tambe,field,Kolkata Knight Riders,club,{'runs': 10}
1015,1015,Delhi,male,DR Smith,field,Chennai Super Kings,club,{'wickets': 8}
1016,1016,Mumbai,male,RG Sharma,field,Royal Challengers Bangalore,club,{'runs': 19}
1017,1017,Delhi,male,G Gambhir,bat,Delhi Daredevils,club,{'wickets': 8}
1018,1018,Cuttack,male,GJ Maxwell,field,Chennai Super Kings,club,{'runs': 44}
1019,1019,Ahmedabad,male,B Kumar,field,Rajasthan Royals,club,{'runs': 32}
1020,1020,Bangalore,male,Sandeep Sharma,field,Royal Challengers Bangalore,club,{'runs': 32}
1021,1021,Delhi,male,DW Steyn,field,Sunrisers Hyderabad,club,{'wickets': 8}
1022,1022,Mumbai,male,DR Smith,field,Chennai Super Kings,club,{'wickets': 4}
1023,1023,Cuttack,male,G Gambhir,field,Kolkata Knight Riders,club,{'wickets': 9}
1024,1024,Bangalore,male,JP Faulkner,bat,Royal Challengers Bangalore,club,{'wickets': 5}
1025,1025,Hyderabad,male,AT Rayudu,bat,Sunrisers Hyderabad,club,{'wickets': 7}
1026,1026,Ranchi,male,RA Jadeja,bat,Rajasthan Royals,club,{'wickets': 5}
1027,1027,Bangalore,male,Yuvraj Singh,field,Delhi Daredevils,club,{'runs': 16}
1028,1028,Hyderabad,male,WP Saha,field,Kings XI Punjab,club,{'wickets': 6}
1029,1029,Cuttack,male,RV Uthappa,field,Kolkata Knight Riders,club,{'wickets': 6}
1030,1030,Ahmedabad,male,AM Rahane,field,Delhi Daredevils,club,{'runs': 62}
1031,1031,Ranchi,male,AB de Villiers,bat,Chennai Super Kings,club,{'wickets': 5}
1032,1032,Hyderabad,male,UT Yadav,bat,Sunrisers Hyderabad,club,{'wickets': 7}
1033,1033,Ahmedabad,male,MEK Hussey,bat,Mumbai Indians,club,{'runs': 25}
1034,1034,Delhi,male,AR Patel,field,Kings XI Punjab,club,{'wickets': 4}
1035,1035,Hyderabad,male,DA Warner,bat,Royal Challengers Bangalore,club,{'wickets': 7}
1036,1036,Kolkata,male,RV Uthappa,field,Kolkata Knight Riders,club,{'wickets': 8}
1037,1037,Chandigarh,male,LMP Simmons,field,Mumbai Indians,club,{'wickets': 7}
1038,1038,Kolkata,male,RV Uthappa,field,Royal Challengers Bangalore,club,{'runs': 30}
1039,1039,Ranchi,male,DA Warner,field,Sunrisers Hyderabad,club,{'wickets': 6}
1040,1040,Mumbai,male,MEK Hussey,field,Delhi Daredevils,club,{'runs': 15}
1041,1041,Chandigarh,male,SE Marsh,field,Rajasthan Royals,club,{'runs': 16}
1042,1042,Bangalore,male,MS Dhoni,field,Chennai Super Kings,club,{'wickets': 8}
1043,1043,Kolkata,male,YK Pathan,field,Kolkata Knight Riders,club,{'wickets': 4}
1044,1044,Chandigarh,male,M Vohra,field,Kings XI Punjab,club,{'wickets': 7}
1045,1045,Mumbai,male,CJ Anderson,field,Mumbai Indians,club,{'wickets': 5}
1046,1046,Kolkata,male,UT Yadav,field,Kings XI Punjab,club,{'runs': 28}
1047,1047,Mumbai,male,SK Raina,field,Chennai Super Kings,club,{'wickets': 7}
1048,1048,Mumbai,male,V Sehwag,field,Chennai Super Kings,club,{'runs': 24}
1049,1049,Bangalore,male,MK Pandey,field,Kolkata Knight Riders,club,{'wickets': 3}
1050,1050,Kolkata,male,M Morkel,field,Kolkata Knight Riders,club,{'wickets': 7}
1051,1051,Chennai,male,A Nehra,field,Delhi Daredevils,club,{'runs': 1}
1052,1052,Pune,male,JP Faulkner,field,Kings XI Punjab,club,{'runs': 26}
1053,1053,Chennai,male,BB McCullum,bat,Chennai Super Kings,club,{'runs': 45}
1054,1054,Kolkata,male,CH Gayle,field,Royal Challengers Bangalore,club,{'wickets': 3}
1055,1055,Delhi,male,DJ Hooda,field,Rajasthan Royals,club,{'wickets': 3}
1056,1056,Mumbai,male,GJ Bailey,field,Mumbai Indians,club,{'runs': 18}
1057,1057,Bangalore,male,DA Warner,field,Sunrisers Hyderabad,club,{'wickets': 8}
1058,1058,Ahmedabad,male,SPD Smith,bat,Mumbai Indians,club,{'wickets': 7}
1059,1059,Kolkata,male,AD Russell,field,Kolkata Knight Riders,club,{'wickets': 7}
1060,1060,Pune,male,MA Agarwal,bat,Kings XI Punjab,club,{'wickets': 5}
1061,1061,Visakhapatnam,male,AM Rahane,field,Rajasthan Royals,club,{'wickets': 6}
1062,1062,Mumbai,male,A Nehra,bat,Mumbai Indians,club,{'wickets': 6}
1063,1063,Visakhapatnam,male,JP Duminy,bat,Delhi Daredevils,club,{'runs': 4}
1064,1064,Pune,male,AD Russell,field,Kolkata Knight Riders,club,{'wickets': 4}
1065,1065,Ahmedabad,male,AM Rahane,bat,Chennai Super Kings,club,{'wickets': 8}
1066,1066,Bangalore,male,Harbhajan Singh,field,Royal Challengers Bangalore,club,{'runs': 18}
1067,1067,Delhi,male,UT Yadav,field,Kolkata Knight Riders,club,{'wickets': 6}
1068,1068,Ahmedabad,male,SE Marsh,field,Kings XI Punjab,club,
1069,1069,Visakhapatnam,male,DA Warner,field,Kolkata Knight Riders,club,{'runs': 16}
1070,1070,Bangalore,male,SK Raina,field,Royal Challengers Bangalore,club,{'runs': 27}
1071,1071,Delhi,male,SS Iyer,field,Mumbai Indians,club,{'runs': 37}
1072,1072,Ahmedabad,male,MA Starc,field,Royal Challengers Bangalore,club,{'wickets': 9}
1073,1073,Mumbai,male,SL Malinga,bat,Mumbai Indians,club,{'runs': 20}
1074,1074,Chennai,male,BB McCullum,bat,Chennai Super Kings,club,{'runs': 97}
1075,1075,Delhi,male,VR Aaron,field,Royal Challengers Bangalore,club,{'wickets': 10}
1076,1076,Chandigarh,male,TA Boult,field,Kings XI Punjab,club,{'runs': 20}
1077,1077,Kolkata,male,PP Chawla,bat,Kolkata Knight Riders,club,{'runs': 13}
1078,1078,Bangalore,male,,field,Rajasthan Royals,club,
1079,1079,Chennai,male,DJ Bravo,field,Kolkata Knight Riders,club,{'runs': 2}
1080,1080,Delhi,male,NM Coulter-Nile,field,Delhi Daredevils,club,{'wickets': 9}
1081,1081,Mumbai,male,AT Rayudu,field,Rajasthan Royals,club,{'runs': 8}
1082,1082,Bangalore,male,Mandeep Singh,field,Royal Challengers Bangalore,club,{'wickets': 7}
